subj,bands,freq,side,rois
1,1,9.237604307034012,0,1
1,2,7.155417527999327,0,1
1,3,6.047431568147635,0,1
1,4,5.333333333333333,0,1
1,5,4.824181513244218,0,1
1,6,4.437601569801833,0,1
1,7,4.131182235954578,0,1
1,8,3.8805700005813275,0,1
1,9,3.6706517419289884,0,1
1,10,3.491486243775878,0,1
1,11,3.3362306249131963,0,1
1,12,3.2,0,1
1,13,3.079201435678004,0,1
1,14,0.6432675209026769,0,1
1,1,2.309401076758503,1,1
1,2,2.5298221281347035,1,1
1,3,2.138089935299395,1,1
1,4,1.8856180831641267,1,1
1,5,1.7056057308448835,1,1
1,6,1.5689290811054724,1,1
1,7,1.4605934866804429,1,1
1,8,1.3719886811400708,1,1
1,9,1.2977713690461004,1,1
1,10,1.2344267996967353,1,1
1,11,1.179535649239177,1,1
1,12,0.938083151964686,1,1
1,13,0.769800358919501,1,1
1,14,0.7427813527082074,1,1
2,1,9.237604307034012,0,1
2,2,7.155417527999327,0,1
2,3,6.047431568147635,0,1
2,4,1.8856180831641267,0,1
2,5,2.04494943258218,0,1
2,6,1.8810798862519205,0,1
2,7,1.7511900715418263,0,1
2,8,1.6449566416599486,0,1
2,9,1.5559732104309982,0,1
2,10,1.4800257398019099,0,1
2,11,1.4142135623730951,0,1
2,12,1.131370849898476,0,1
2,13,1.0886621079036347,0,1
2,14,1.259447059844805,0,1
2,1,9.237604307034012,1,1
2,2,7.155417527999327,1,1
2,3,6.047431568147635,1,1
2,4,5.333333333333333,1,1
2,5,4.067610422035836,1,1
2,6,3.1378581622109447,1,1
2,7,4.131182235954578,1,1
2,8,2.3008949665421112,1,1
2,9,2.176428750330035,1,1
2,10,2.0701966780270626,1,1
2,11,2.359071298478354,1,1
2,12,3.2,1,1
2,13,3.079201435678004,1,1
2,14,2.9711254108328298,1,1
3,1,9.237604307034012,0,1
3,2,7.155417527999327,0,1
3,3,6.047431568147635,0,1
3,4,5.333333333333333,0,1
3,5,4.824181513244218,0,1
3,6,4.437601569801833,0,1
3,7,4.131182235954578,0,1
3,8,3.8805700005813275,0,1
3,9,3.6706517419289884,0,1
3,10,3.491486243775878,0,1
3,11,3.3362306249131963,0,1
3,12,3.2,0,1
3,13,3.079201435678004,0,1
3,14,2.9711254108328298,0,1
3,1,3.265986323710904,1,1
3,2,2.0976176963403033,1,1
3,3,6.047431568147635,1,1
3,4,2.260776661041756,1,1
3,5,1.7056057308448835,1,1
3,6,4.437601569801833,1,1
3,7,4.131182235954578,1,1
3,8,3.8805700005813275,1,1
3,9,3.6706517419289884,1,1
3,10,3.491486243775878,1,1
3,11,3.3362306249131963,1,1
3,12,3.2,1,1
3,13,3.079201435678004,1,1
3,14,2.9711254108328298,1,1
4,1,2.0,0,1
4,2,1.5491933384829668,0,1
4,3,1.3093073414159542,0,1
4,4,1.1547005383792515,0,1
4,5,1.044465935734187,0,1
4,6,0.9607689228305228,0,1
4,7,0.8944271909999159,0,1
4,8,0.8401680504168059,0,1
4,9,0.7947194142390263,0,1
4,10,0.7559289460184544,0,1
4,11,0.7223151185146152,0,1
4,12,0.6928203230275509,0,1
4,13,0.6666666666666666,0,1
4,14,0.6432675209026769,0,1
4,1,2.0,1,1
4,2,1.7888543819998317,1,1
4,3,1.3093073414159542,1,1
4,4,1.1547005383792515,1,1
4,5,1.044465935734187,1,1
4,6,0.9607689228305228,1,1
4,7,0.8944271909999159,1,1
4,8,0.8401680504168059,1,1
4,9,0.7947194142390263,1,1
4,10,0.7559289460184544,1,1
4,11,0.7223151185146152,1,1
4,12,0.6928203230275509,1,1
4,13,0.6666666666666666,1,1
4,14,0.6432675209026769,1,1
5,1,9.237604307034012,0,1
5,2,7.155417527999327,0,1
5,3,6.047431568147635,0,1
5,4,5.333333333333333,0,1
5,5,4.824181513244218,0,1
5,6,4.437601569801833,0,1
5,7,4.131182235954578,0,1
5,8,3.8805700005813275,0,1
5,9,3.6706517419289884,0,1
5,10,3.491486243775878,0,1
5,11,3.3362306249131963,0,1
5,12,3.2,0,1
5,13,3.079201435678004,0,1
5,14,2.9711254108328298,0,1
5,1,2.0,1,1
5,2,1.5491933384829668,1,1
5,3,1.3093073414159542,1,1
5,4,5.333333333333333,1,1
5,5,4.824181513244218,1,1
5,6,4.437601569801833,1,1
5,7,4.131182235954578,1,1
5,8,3.8805700005813275,1,1
5,9,3.6706517419289884,1,1
5,10,3.491486243775878,1,1
5,11,3.3362306249131963,1,1
5,12,3.2,1,1
5,13,3.079201435678004,1,1
5,14,2.9711254108328298,1,1
6,1,9.237604307034012,0,1
6,2,7.155417527999327,0,1
6,3,6.047431568147635,0,1
6,4,3.1622776601683795,0,1
6,5,2.860387767736777,0,1
6,6,2.6311740579210876,0,1
6,7,2.449489742783178,0,1
6,8,2.3008949665421112,0,1
6,9,2.5955427380922007,0,1
6,10,3.491486243775878,0,1
6,11,1.978141420187361,0,1
6,12,1.8973665961010275,0,1
6,13,1.8257418583505538,0,1
6,14,1.7616606585441104,0,1
6,1,2.309401076758503,1,1
6,2,1.5491933384829668,1,1
6,3,1.7728105208558367,1,1
6,4,1.1547005383792515,1,1
6,5,1.044465935734187,1,1
6,6,0.9607689228305228,1,1
6,7,0.8944271909999159,1,1
6,8,0.8401680504168059,1,1
6,9,0.7947194142390263,1,1
6,10,0.7559289460184544,1,1
6,11,0.7223151185146152,1,1
6,12,0.6928203230275509,1,1
6,13,0.6666666666666666,1,1
6,14,0.6432675209026769,1,1
7,1,2.0,0,1
7,2,5.059644256269407,0,1
7,3,4.27617987059879,0,1
7,4,1.1547005383792515,0,1
7,5,1.044465935734187,0,1
7,6,0.9607689228305228,0,1
7,7,0.8944271909999159,0,1
7,8,0.8401680504168059,0,1
7,9,0.7947194142390263,0,1
7,10,0.7559289460184544,0,1
7,11,0.7223151185146152,0,1
7,12,0.8,0,1
