,roi,side,eccen,subject,preferred_period,sigma
0,1,0,1.5,1,0.5119012508289671,0.7014003574185901
1,1,0,2.5,1,0.4401362719831095,1.786381528435684
2,1,0,3.5,1,0.4739248843107003,1.934529151890304
3,1,0,4.5,1,0.598553365262572,1.4804047648919458
4,1,0,5.5,1,0.7276353179760126,1.5578349206596611
5,1,0,6.5,1,0.7723790853258047,1.7471719243395047
6,1,0,7.5,1,0.8827563515305302,2.190887934015703
7,1,0,8.5,1,1.0332604630336537,2.397785844224872
8,1,0,9.5,1,1.2080312541687208,2.7866802143328115
9,1,0,10.5,1,1.5162396208165168,2.135081385445391
10,1,0,11.5,1,1.597963291645461,1.6140075591392815
11,1,1,1.5,1,0.3740200227029802,0.5203663720599105
12,1,1,2.5,1,0.445353610291464,0.9687454591792328
13,1,1,3.5,1,0.5486454741849679,1.5600601996694292
14,1,1,4.5,1,0.6713405036847224,1.950885884306602
15,1,1,5.5,1,0.7645286065588242,2.32669998395561
16,1,1,6.5,1,0.8462567905482155,2.395787578687739
17,1,1,7.5,1,0.9113811483246432,1.6990616813388173
18,1,1,8.5,1,1.167219563392108,1.3523067790648842
19,1,1,9.5,1,1.4231409989284989,0.9067074378985844
20,1,1,10.5,1,1.3194660749920266,0.5771058995176006
21,1,1,11.5,1,0.0261308678642912,0.4381457742258727
22,1,0,1.5,2,0.5841803181227532,2.6447011766045594
23,1,0,2.5,2,0.7514302244416812,2.7738217880476768
24,1,0,3.5,2,0.9084842375094562,2.8942197887102763
25,1,0,4.5,2,1.0801225506268206,2.990872257117984
26,1,0,5.5,2,1.288680949927042,3.1344823326101365
27,1,0,6.5,2,1.5685301434421737,3.149299509925385
28,1,0,7.5,2,1.830549430371891,3.506370551828155
29,1,0,8.5,2,1.9940321228280573,2.7103947438299656
30,1,0,9.5,2,2.109881956463766,2.840970084869436
31,1,0,10.5,2,2.447002681259649,2.6226400403726484
32,1,0,11.5,2,2.2348317349833717,2.461041723843664
33,1,1,1.5,2,0.5318830846738395,2.3413070785620858
34,1,1,2.5,2,0.6272978362038675,2.3960045221306028
35,1,1,3.5,2,0.7861878535125082,2.4000123367050654
