subject,roi,eccentricity_range,eccentricity_mean,frequency_class,psf,side
0,0,"(1.5, 2.5)",2.0,0,4.0,0
0,0,"(1.5, 2.5)",2.0,1,3.0,0
0,0,"(1.5, 2.5)",2.0,2,45.254833995939045,0
0,0,"(1.5, 2.5)",2.0,3,16.263455967290593,0
0,0,"(2.5, 3.5)",3.0,0,2.6666666666666665,0
0,0,"(2.5, 3.5)",3.0,1,2.0,0
0,0,"(2.5, 3.5)",3.0,2,30.16988933062603,0
0,0,"(2.5, 3.5)",3.0,3,10.842303978193728,0
0,0,"(3.5, 4.5)",4.0,0,2.0,0
0,0,"(3.5, 4.5)",4.0,1,32.0,0
0,0,"(3.5, 4.5)",4.0,2,22.627416997969522,0
0,0,"(3.5, 4.5)",4.0,3,15.90990257669732,0
0,0,"(4.5, 5.5)",5.0,0,12.8,0
0,0,"(4.5, 5.5)",5.0,1,1.2,0
0,0,"(4.5, 5.5)",5.0,2,18.101933598375616,0
0,0,"(4.5, 5.5)",5.0,3,12.727922061357855,0
0,0,"(5.5, 6.5)",6.0,0,10.666666666666666,0
0,0,"(5.5, 6.5)",6.0,1,1.0,0
0,0,"(5.5, 6.5)",6.0,2,15.084944665313015,0
0,0,"(5.5, 6.5)",6.0,3,10.606601717798213,0
0,0,"(6.5, 7.5)",7.0,0,9.142857142857142,0
0,0,"(6.5, 7.5)",7.0,1,0.8571428571428571,0
0,0,"(6.5, 7.5)",7.0,2,2.2223355980148636,0
0,0,"(6.5, 7.5)",7.0,3,9.091372900969898,0
0,0,"(7.5, 8.5)",8.0,0,1.0,0
0,0,"(7.5, 8.5)",8.0,1,0.75,0
0,0,"(7.5, 8.5)",8.0,2,1.9445436482630056,0
0,0,"(7.5, 8.5)",8.0,3,7.95495128834866,0
0,0,"(8.5, 9.5)",9.0,0,0.8888888888888888,0
0,0,"(8.5, 9.5)",9.0,1,0.6666666666666666,0
0,0,"(8.5, 9.5)",9.0,2,1.7284832429004495,0
0,0,"(8.5, 9.5)",9.0,3,7.0710678118654755,0
0,0,"(9.5, 10.5)",10.0,0,0.8,0
0,0,"(9.5, 10.5)",10.0,1,0.6,0
0,0,"(9.5, 10.5)",10.0,2,1.5556349186104046,0
0,0,"(9.5, 10.5)",10.0,3,6.363961030678928,0
0,0,"(10.5, 11.5)",11.0,0,2.909090909090909,0
0,0,"(10.5, 11.5)",11.0,1,0.5454545454545454,0
0,0,"(10.5, 11.5)",11.0,2,1.414213562373095,0
0,0,"(10.5, 11.5)",11.0,3,5.785419118799026,0
0,0,"(11.5, 12.5)",12.0,0,0.5,0
0,0,"(11.5, 12.5)",12.0,1,7.583333333333333,0
0,0,"(11.5, 12.5)",12.0,2,1.296362432175337,0
0,0,"(11.5, 12.5)",12.0,3,5.303300858899107,0
0,0,"(12.5, 13.5)",13.0,0,0.46153846153846156,0
0,0,"(12.5, 13.5)",13.0,1,0.6153846153846154,0
0,0,"(12.5, 13.5)",13.0,2,1.1966422450849266,0
0,0,"(12.5, 13.5)",13.0,3,2.5020701488139374,0
0,0,"(13.5, 14.5)",14.0,0,0.5714285714285714,0
0,0,"(13.5, 14.5)",14.0,1,0.42857142857142855,0
0,0,"(13.5, 14.5)",14.0,2,1.1111677990074318,0
0,0,"(13.5, 14.5)",14.0,3,9.192388155425117,0
0,0,"(14.5, 15.5)",15.0,0,0.4,0
0,0,"(14.5, 15.5)",15.0,1,0.4,0
0,0,"(14.5, 15.5)",15.0,2,1.0370899457402696,0
0,0,"(14.5, 15.5)",15.0,3,8.579562278396775,0
0,0,"(15.5, 16.5)",16.0,0,0.375,0
0,0,"(15.5, 16.5)",16.0,1,0.375,0
0,0,"(15.5, 16.5)",16.0,2,5.656854249492381,0
0,0,"(15.5, 16.5)",16.0,3,8.043339635996977,0
0,0,"(16.5, 17.5)",17.0,0,0.35294117647058826,0
0,0,"(16.5, 17.5)",17.0,1,0.47058823529411764,0
0,0,"(16.5, 17.5)",17.0,2,0.9150793638884732,0
0,0,"(16.5, 17.5)",17.0,3,1.9133477608577167,0
0,0,"(17.5, 18.5)",18.0,0,0.4444444444444444,0
0,0,"(17.5, 18.5)",18.0,1,0.3333333333333333,0
0,0,"(17.5, 18.5)",18.0,2,5.028314888437672,0
0,0,"(17.5, 18.5)",18.0,3,7.149635231997313,0
0,0,"(18.5, 19.5)",19.0,0,0.3157894736842105,0
0,0,"(18.5, 19.5)",19.0,1,0.3157894736842105,0
0,0,"(18.5, 19.5)",19.0,2,4.763666736414637,0
0,0,"(18.5, 19.5)",19.0,3,6.77333864083956,0
0,0,"(19.5, 20.5)",20.0,0,0.4,0
0,0,"(19.5, 20.5)",20.0,1,0.4,0
0,0,"(19.5, 20.5)",20.0,2,0.7778174593052023,0
0,0,"(19.5, 20.5)",20.0,3,6.434671708797582,0
0,0,"(20.5, 21.5)",21.0,0,4.333333333333333,0
0,0,"(20.5, 21.5)",21.0,1,0.38095238095238093,0
0,0,"(20.5, 21.5)",21.0,2,0.7407785326716212,0
0,0,"(20.5, 21.5)",21.0,3,0.40406101782088427,0
0,0,"(21.5, 22.5)",22.0,0,0.2727272727272727,0
0,0,"(21.5, 22.5)",22.0,1,0.36363636363636365,0
0,0,"(21.5, 22.5)",22.0,2,0.7071067811865475,0
0,0,"(21.5, 22.5)",22.0,3,0.25712973861329,0
0,0,"(22.5, 23.5)",23.0,0,0.2608695652173913,0
0,0,"(22.5, 23.5)",23.0,1,0.34782608695652173,0
0,0,"(22.5, 23.5)",23.0,2,0.6763630080914802,0
0,0,"(22.5, 23.5)",23.0,3,0.2459501847605383,0
0,0,"(23.5, 24.5)",24.0,0,0.25,0
0,0,"(23.5, 24.5)",24.0,1,0.3333333333333333,0
0,0,"(23.5, 24.5)",24.0,2,0.35355339059327373,0
0,0,"(23.5, 24.5)",24.0,3,0.23570226039551587,0
0,0,"(24.5, 25.5)",25.0,0,0.24,0
0,0,"(24.5, 25.5)",25.0,1,0.24,0
0,0,"(24.5, 25.5)",25.0,2,0.3394112549695428,0
0,0,"(24.5, 25.5)",25.0,3,0.2262741699796952,0
0,1,"(1.5, 2.5)",2.0,0,16.0,0
0,1,"(1.5, 2.5)",2.0,1,3.0,0
0,1,"(1.5, 2.5)",2.0,2,7.7781745930520225,0
0,1,"(1.5, 2.5)",2.0,3,45.254833995939045,0
0,1,"(2.5, 3.5)",3.0,0,10.666666666666666,0
0,1,"(2.5, 3.5)",3.0,1,7.666666666666667,0
0,1,"(2.5, 3.5)",3.0,2,7.542472332656508,0
0,1,"(2.5, 3.5)",3.0,3,7.542472332656508,0
0,1,"(3.5, 4.5)",4.0,0,8.0,0
0,1,"(3.5, 4.5)",4.0,1,5.75,0
0,1,"(3.5, 4.5)",4.0,2,5.656854249492381,0
0,1,"(3.5, 4.5)",4.0,3,8.131727983645296,0
0,1,"(4.5, 5.5)",5.0,0,9.0,0
0,1,"(4.5, 5.5)",5.0,1,4.6,0
0,1,"(4.5, 5.5)",5.0,2,4.525483399593904,0
0,1,"(4.5, 5.5)",5.0,3,12.727922061357855,0
0,1,"(5.5, 6.5)",6.0,0,5.333333333333333,0
0,1,"(5.5, 6.5)",6.0,1,7.5,0
0,1,"(5.5, 6.5)",6.0,2,3.771236166328254,0
0,1,"(5.5, 6.5)",6.0,3,10.606601717798213,0
0,1,"(6.5, 7.5)",7.0,0,4.571428571428571,0
0,1,"(6.5, 7.5)",7.0,1,6.428571428571429,0
0,1,"(6.5, 7.5)",7.0,2,9.091372900969898,0
0,1,"(6.5, 7.5)",7.0,3,12.929952570268298,0
0,1,"(7.5, 8.5)",8.0,0,4.0,0
0,1,"(7.5, 8.5)",8.0,1,5.625,0
0,1,"(7.5, 8.5)",8.0,2,7.95495128834866,0
0,1,"(7.5, 8.5)",8.0,3,11.313708498984761,0
0,1,"(8.5, 9.5)",9.0,0,3.5555555555555554,0
0,1,"(8.5, 9.5)",9.0,1,5.0,0
0,1,"(8.5, 9.5)",9.0,2,7.0710678118654755,0
0,1,"(8.5, 9.5)",9.0,3,10.056629776875344,0
0,1,"(9.5, 10.5)",10.0,0,3.2,0
0,1,"(9.5, 10.5)",10.0,1,4.5,0
