subject,roi,eccentricity_range,eccentricity_mean,frequency_class,psf,side
1,1,"(1.5, 2.5)",2.0,1,4.0,0
1,1,"(1.5, 2.5)",2.0,2,3.0,0
1,1,"(1.5, 2.5)",2.0,3,45.2548,0
1,1,"(1.5, 2.5)",2.0,4,16.2635,0
1,1,"(2.5, 3.5)",3.0,1,2.6667,0
1,1,"(2.5, 3.5)",3.0,2,2.0,0
1,1,"(2.5, 3.5)",3.0,3,30.1699,0
1,1,"(2.5, 3.5)",3.0,4,10.8423,0
1,1,"(3.5, 4.5)",4.0,1,2.0,0
1,1,"(3.5, 4.5)",4.0,2,32.0,0
1,1,"(3.5, 4.5)",4.0,3,22.6274,0
1,1,"(3.5, 4.5)",4.0,4,15.9099,0
1,1,"(4.5, 5.5)",5.0,1,12.8,0
1,1,"(4.5, 5.5)",5.0,2,1.2,0
1,1,"(4.5, 5.5)",5.0,3,18.1019,0
1,1,"(4.5, 5.5)",5.0,4,12.7279,0
1,1,"(5.5, 6.5)",6.0,1,10.6667,0
1,1,"(5.5, 6.5)",6.0,2,1.0,0
1,1,"(5.5, 6.5)",6.0,3,15.0849,0
1,1,"(5.5, 6.5)",6.0,4,10.6066,0
1,1,"(6.5, 7.5)",7.0,1,9.1429,0
1,1,"(6.5, 7.5)",7.0,2,0.8571,0
1,1,"(6.5, 7.5)",7.0,3,2.2223,0
1,1,"(6.5, 7.5)",7.0,4,9.0914,0
1,1,"(7.5, 8.5)",8.0,1,1.0,0
1,1,"(7.5, 8.5)",8.0,2,0.75,0
1,1,"(7.5, 8.5)",8.0,3,1.9445,0
1,1,"(7.5, 8.5)",8.0,4,7.955,0
1,1,"(8.5, 9.5)",9.0,1,0.8889,0
1,1,"(8.5, 9.5)",9.0,2,0.6667,0
1,1,"(8.5, 9.5)",9.0,3,1.7285,0
1,1,"(8.5, 9.5)",9.0,4,7.0711,0
1,1,"(9.5, 10.5)",10.0,1,0.8,0
1,1,"(9.5, 10.5)",10.0,2,0.6,0
1,1,"(9.5, 10.5)",10.0,3,1.5556,0
1,1,"(9.5, 10.5)",10.0,4,6.364,0
1,1,"(10.5, 11.5)",11.0,1,2.9091,0
1,1,"(10.5, 11.5)",11.0,2,0.5455,0
1,1,"(10.5, 11.5)",11.0,3,1.4142,0
1,1,"(10.5, 11.5)",11.0,4,5.7854,0
1,1,"(11.5, 12.5)",12.0,1,0.5,0
1,1,"(11.5, 12.5)",12.0,2,7.5833,0
1,1,"(11.5, 12.5)",12.0,3,1.2964,0
1,1,"(11.5, 12.5)",12.0,4,5.3033,0
1,1,"(12.5, 13.5)",13.0,1,0.4615,0
1,1,"(12.5, 13.5)",13.0,2,0.6154,0
1,1,"(12.5, 13.5)",13.0,3,1.1966,0
1,1,"(12.5, 13.5)",13.0,4,2.5021,0
1,1,"(13.5, 14.5)",14.0,1,0.5714,0
1,1,"(13.5, 14.5)",14.0,2,0.4286,0
1,1,"(13.5, 14.5)",14.0,3,1.1112,0
1,1,"(13.5, 14.5)",14.0,4,9.1924,0
1,1,"(14.5, 15.5)",15.0,1,0.4,0
1,1,"(14.5, 15.5)",15.0,2,0.4,0
1,1,"(14.5, 15.5)",15.0,3,1.0371,0
1,1,"(14.5, 15.5)",15.0,4,8.5796,0
1,1,"(15.5, 16.5)",16.0,1,0.375,0
1,1,"(15.5, 16.5)",16.0,2,0.375,0
1,1,"(15.5, 16.5)",16.0,3,5.6569,0
1,1,"(15.5, 16.5)",16.0,4,8.0433,0
1,1,"(16.5, 17.5)",17.0,1,0.3529,0
1,1,"(16.5, 17.5)",17.0,2,0.4706,0
1,1,"(16.5, 17.5)",17.0,3,0.9151,0
1,1,"(16.5, 17.5)",17.0,4,1.9133,0
1,1,"(17.5, 18.5)",18.0,1,0.4444,0
1,1,"(17.5, 18.5)",18.0,2,0.3333,0
1,1,"(17.5, 18.5)",18.0,3,5.0283,0
1,1,"(17.5, 18.5)",18.0,4,7.1496,0
1,1,"(18.5, 19.5)",19.0,1,0.3158,0
1,1,"(18.5, 19.5)",19.0,2,0.3158,0
1,1,"(18.5, 19.5)",19.0,3,4.7637,0
1,1,"(18.5, 19.5)",19.0,4,6.7733,0
1,1,"(19.5, 20.5)",20.0,1,0.4,0
1,1,"(19.5, 20.5)",20.0,2,0.4,0
1,1,"(19.5, 20.5)",20.0,3,0.7778,0
1,1,"(19.5, 20.5)",20.0,4,6.4347,0
1,1,"(20.5, 21.5)",21.0,1,4.3333,0
1,1,"(20.5, 21.5)",21.0,2,0.381,0
1,1,"(20.5, 21.5)",21.0,3,0.7408,0
1,1,"(20.5, 21.5)",21.0,4,0.4041,0
1,1,"(21.5, 22.5)",22.0,1,0.2727,0
1,1,"(21.5, 22.5)",22.0,2,0.3636,0
1,1,"(21.5, 22.5)",22.0,3,0.7071,0
1,1,"(21.5, 22.5)",22.0,4,0.2571,0
1,1,"(22.5, 23.5)",23.0,1,0.2609,0
1,1,"(22.5, 23.5)",23.0,2,0.3478,0
1,1,"(22.5, 23.5)",23.0,3,0.6764,0
1,1,"(22.5, 23.5)",23.0,4,0.246,0
1,1,"(23.5, 24.5)",24.0,1,0.25,0
1,1,"(23.5, 24.5)",24.0,2,0.3333,0
1,1,"(23.5, 24.5)",24.0,3,0.3536,0
1,1,"(23.5, 24.5)",24.0,4,0.2357,0
1,1,"(24.5, 25.5)",25.0,1,0.24,0
1,1,"(24.5, 25.5)",25.0,2,0.24,0
1,1,"(24.5, 25.5)",25.0,3,0.3394,0
1,1,"(24.5, 25.5)",25.0,4,0.2263,0
1,2,"(1.5, 2.5)",2.0,1,16.0,0
1,2,"(1.5, 2.5)",2.0,2,3.0,0
1,2,"(1.5, 2.5)",2.0,3,7.7782,0
1,2,"(1.5, 2.5)",2.0,4,45.2548,0
1,2,"(2.5, 3.5)",3.0,1,10.6667,0
1,2,"(2.5, 3.5)",3.0,2,7.6667,0
1,2,"(2.5, 3.5)",3.0,3,7.5425,0
1,2,"(2.5, 3.5)",3.0,4,7.5425,0
1,2,"(3.5, 4.5)",4.0,1,8.0,0
1,2,"(3.5, 4.5)",4.0,2,5.75,0
1,2,"(3.5, 4.5)",4.0,3,5.6569,0
1,2,"(3.5, 4.5)",4.0,4,8.1317,0
1,2,"(4.5, 5.5)",5.0,1,9.0,0
1,2,"(4.5, 5.5)",5.0,2,4.6,0
1,2,"(4.5, 5.5)",5.0,3,4.5255,0
1,2,"(4.5, 5.5)",5.0,4,12.7279,0
1,2,"(5.5, 6.5)",6.0,1,5.3333,0
1,2,"(5.5, 6.5)",6.0,2,7.5,0
1,2,"(5.5, 6.5)",6.0,3,3.7712,0
1,2,"(5.5, 6.5)",6.0,4,10.6066,0
1,2,"(6.5, 7.5)",7.0,1,4.5714,0
1,2,"(6.5, 7.5)",7.0,2,6.4286,0
1,2,"(6.5, 7.5)",7.0,3,9.0914,0
1,2,"(6.5, 7.5)",7.0,4,12.93,0
1,2,"(7.5, 8.5)",8.0,1,4.0,0
1,2,"(7.5, 8.5)",8.0,2,5.625,0
1,2,"(7.5, 8.5)",8.0,3,7.955,0
1,2,"(7.5, 8.5)",8.0,4,11.3137,0
1,2,"(8.5, 9.5)",9.0,1,3.5556,0
1,2,"(8.5, 9.5)",9.0,2,5.0,0
1,2,"(8.5, 9.5)",9.0,3,7.0711,0
1,2,"(8.5, 9.5)",9.0,4,10.0566,0
1,2,"(9.5, 10.5)",10.0,1,3.2,0
1,2,"(9.5, 10.5)",10.0,2,4.5,0
1,2,"(9.5, 10.5)",10.0,3,6.364,0
1,2,"(9.5, 10.5)",10.0,4,9.051,0
1,2,"(10.5, 11.5)",11.0,1,2.9091,0
1,2,"(10.5, 11.5)",11.0,2,4.0909,0
1,2,"(10.5, 11.5)",11.0,3,5.7854,0
1,2,"(10.5, 11.5)",11.0,4,8.2282,0
1,2,"(11.5, 12.5)",12.0,1,2.6667,0
1,2,"(11.5, 12.5)",12.0,2,3.75,0
1,2,"(11.5, 12.5)",12.0,3,5.3033,0
1,2,"(11.5, 12.5)",12.0,4,7.5425,0
1,2,"(12.5, 13.5)",13.0,1,2.4615,0
1,2,"(12.5, 13.5)",13.0,2,3.4615,0
1,2,"(12.5, 13.5)",13.0,3,4.8954,0
1,2,"(12.5, 13.5)",13.0,4,6.9623,0
1,2,"(13.5, 14.5)",14.0,1,2.2857,0
