"áreas","Excentricidad.Coef","Excentricidad.SE","Excentricidad.t-val","Excentricidad.BF10","Hemisferio.Coef","Hemisferio.SE","Hemisferio.t-val","Hemisferio.BF10","Excentricidad:Hemisferio.Coef","Excentricidad:Hemisferio.SE","Excentricidad:Hemisferio.t-val","Excentricidad:Hemisferio.BF10"
"V1",0.147113029096433,0.00216538393689656,67.9385427174068,"Inf",0.0966673576102696,0.010788937941714,8.95985852662269,"9.78e-04",-0.0334097002979732,0.0030542105795242,-10.9388987524161,"2.01e+21"
"V2",0.201955195978662,0.0041105204727756,49.1312954931698,"Inf",-0.0340015012311337,0.0194013228292345,-1.75253520238833,"1.47e+18",-0.0165611638003625,0.00574612021980556,-2.88214711263436,"3.08e-03"
"V3",0.133576728671322,0.00636902508612276,20.9728689815286,"1.06e+60",0.363057358613033,0.0279593151123328,12.9852021465608,"3.3e+00",-0.112480078260246,0.00917823586245651,-12.2550869193005,"3.3e+28"
"hV4",-0.0331943482730526,0.0142949606249117,-2.32210141350128,"9.71e+08",0.501219614742005,0.0511012630937167,9.80836058441058,"1.37e+35",-0.0755551006940201,0.0184812672034398,-4.08819914036833,"1.21e+00"
"VO1",0.0147040346490743,0.0155933919109328,0.942965759666763,"4.66e-04",0.77304259222876,0.0685376658283917,11.2790913271594,"1.89e+63",-0.0956542389431417,0.022387950892884,-4.27257677135362,"3.71e+00"
"VO2",0.218179750275713,0.0267525532189597,8.15547392766566,"7.53e+22",-0.0708371325483196,0.107432708849497,-0.659362807723258,"4.37e-01",-0.0355585097005535,0.0356170297953995,-0.998356963082487,"1.82e-03"
"LO1",0.377005013341605,0.0192169084977926,19.6184008153503,"2.19e+109",0.451586994719178,0.0606808673423695,7.44199966970254,"4.35e+00",-0.152281595592638,0.0247542274499911,-6.15174098647512,"7.96e+04"
"LO2",0.35337682796681,0.0167518913999529,21.0947420521007,"8.32e+256",-0.362008722654818,0.0596299786255905,-6.07091820253413,"2.01e+13",0.0486654347433005,0.0216420682651528,2.24864990476255,"5.71e-03"
"TO1",0.332650182650412,0.012774469536939,26.0402345231253,"1e+208",0.068571101565588,0.057612741913695,1.19020722305335,"8.28e-03",-0.0502834085271972,0.0197334227863615,-2.54813415146358,"1.27e-02"
"TO2",0.398255555835329,0.0102062422655755,39.020782132382,"Inf",0.220890208214982,0.0503871471272779,4.3838601867459,"4.65e+02",-0.0370454428898134,0.0166459936172192,-2.22548702959325,"4.38e-03"
"V3b",0.502450123090677,0.0147087023368506,34.1600578748446,"Inf",0.382983826577219,0.0550404228518556,6.95822827539028,"2.42e+23",-0.038999717752209,0.0198373478142597,-1.96597438918598,"2.54e-03"
"V3a",0.230366667534156,0.0108051459571671,21.3200884511286,"4.42e+158",0.125833818635115,0.0465521358652101,2.7030729373935,"2.71e-03",-0.0589090930863088,0.0144991076619043,-4.06294611088995,"6.58e-01"
