voxel,eccen,stimulus_superclass,preferred_period,tuning_curve_bandwidth,inf_warning,side,subj,varea,angle,gml_r2,sigma
0,3.9020619392395,angular,0.246479832427192,7.37023031969749,False,0,1,10,4.88238083309613,4.412651,7.68685388565063
0,3.9020619392395,forward spiral,0.0621108323668204,23.5472331409222,False,0,1,10,4.88238083309613,4.412651,7.68685388565063
0,3.9020619392395,radial,0.0472026617551594,10.2372274939443,False,0,1,10,4.88238083309613,4.412651,7.68685388565063
0,3.9020619392395,reverse spiral,0.186407869285906,8.98623041616452,False,0,1,10,4.88238083309613,4.412651,7.68685388565063
1,5.38002729415894,forward spiral,13.5073058388432,0.394131377125709,False,0,1,10,4.78425950898558,1.1562526,6.01483345031738
1,5.38002729415894,radial,6.4625940576144,0.237118559279639,False,0,1,10,4.78425950898558,1.1562526,6.01483345031738
1,5.38002729415894,reverse spiral,3.74703498318163,0.135067533766883,False,0,1,10,4.78425950898558,1.1562526,6.01483345031738
2,5.93045806884766,angular,26.2689803177785,0.242121060530265,False,0,1,10,4.89738942695917,1.9860387,5.41251468658447
2,5.93045806884766,forward spiral,0.0803413327346426,11.8662326712288,False,0,1,10,4.89738942695917,1.9860387,5.41251468658447
2,5.93045806884766,radial,5.43960628619507,0.280093364454819,False,0,1,10,4.89738942695917,1.9860387,5.41251468658447
2,5.93045806884766,reverse spiral,0.316020287685983,4.11921680088426,False,0,1,10,4.89738942695917,1.9860387,5.41251468658447
3,6.91710519790649,angular,0.79797916058254,4.19022053792305,False,0,1,10,4.99147409793695,3.584683,5.28668594360352
3,6.91710519790649,forward spiral,1.54980850366885,7.80822965381335,False,0,1,10,4.99147409793695,3.584683,5.28668594360352
3,6.91710519790649,radial,0.0203919128800434,19.4722346052362,False,0,1,10,4.99147409793695,3.584683,5.28668594360352
3,6.91710519790649,reverse spiral,0.000488281250002493,17.7372333846498,False,0,1,10,4.99147409793695,3.584683,5.28668594360352
4,8.73231410980225,angular,0.000488281250407255,20.8132312581251,False,0,1,10,5.06858790802625,3.197062,6.55131578445435
4,8.73231410980225,forward spiral,0.946029849701174,12.4352302820423,False,0,1,10,5.06858790802625,3.197062,6.55131578445435
4,8.73231410980225,radial,1.63811799107203,7.50922755235007,False,0,1,10,5.06858790802625,3.197062,6.55131578445435
4,8.73231410980225,reverse spiral,0.114884374476903,23.5482331508233,False,0,1,10,5.06858790802625,3.197062,6.55131578445435
5,3.36296129226685,angular,0.267072924513452,9.81823376747065,False,0,1,10,4.8819693414182,9.004039,8.62420749664307
5,3.36296129226685,forward spiral,0.375147095546777,23.5482331508233,False,0,1,10,4.8819693414182,9.004039,8.62420749664307
5,3.36296129226685,radial,0.184827980512288,5.89222662410093,False,0,1,10,4.8819693414182,9.004039,8.62420749664307
5,3.36296129226685,reverse spiral,0.393194214130081,6.1162265269084,False,0,1,10,4.8819693414182,9.004039,8.62420749664307
6,3.81061840057373,angular,0.129425535598453,11.9342295044135,False,0,1,10,4.82485974934373,7.5986624,8.33151340484619
6,3.81061840057373,forward spiral,0.182471206272705,23.5482331508233,False,0,1,10,4.82485974934373,7.5986624,8.33151340484619
6,3.81061840057373,radial,0.119562783305816,6.95023167438914,False,0,1,10,4.82485974934373,7.5986624,8.33151340484619
6,3.81061840057373,reverse spiral,0.363214958669461,7.18723184618858,False,0,1,10,4.82485974934373,7.5986624,8.33151340484619
7,2.82970523834229,angular,0.394789608298409,16.0692328874332,False,0,1,10,4.89390351553982,21.904814,8.21552085876465
7,2.82970523834229,forward spiral,0.196026371877001,23.5482331508233,False,0,1,10,4.89390351553982,21.904814,8.21552085876465
7,2.82970523834229,radial,0.244711441792658,7.3952311009719,False,0,1,10,4.89390351553982,21.904814,8.21552085876465
7,2.82970523834229,reverse spiral,0.354739908719984,6.17122856402089,False,0,1,10,4.89390351553982,21.904814,8.21552085876465
8,3.1238853931427,angular,0.081616811610359,21.1352322552995,False,0,1,10,4.85612397889498,14.827937,9.03683567047119
8,3.1238853931427,forward spiral,0.415967673922984,23.5482331508233,False,0,1,10,4.85612397889498,14.827937,9.03683567047119
8,3.1238853931427,radial,0.218483617648163,6.22222222222222,False,0,1,10,4.85612397889498,14.827937,9.03683567047119
8,3.1238853931427,reverse spiral,0.373495577437043,6.08722545279455,False,0,1,10,4.85612397889498,14.827937,9.03683567047119
9,2.70832204818726,angular,0.585964340689788,20.3062334049817,False,0,1,10,4.84433860057689,28.351814,9.50366687774658
9,2.70832204818726,forward spiral,0.203762175931174,23.5482331508233,False,0,1,10,4.84433860057689,28.351814,9.50366687774658
9,2.70832204818726,radial,0.300595100943559,7.81822994793964,False,0,1,10,4.84433860057689,28.351814,9.50366687774658
9,2.70832204818726,reverse spiral,0.369187098834568,6.41822131797648,False,0,1,10,4.84433860057689,28.351814,9.50366687774658
10,2.93997645378113,angular,0.340191979920929,23.5482331508233,False,0,1,10,4.79507875903921,23.4964,9.71551513671875
10,2.93997645378113,forward spiral,0.260451936989635,23.5482331508233,False,0,1,10,4.79507875903921,23.4964,9.71551513671875
10,2.93997645378113,radial,0.284830065439042,6.96323210773692,False,0,1,10,4.79507875903921,23.4964,9.71551513671875
10,2.93997645378113,reverse spiral,0.36728698164574,6.40322080071727,False,0,1,10,4.79507875903921,23.4964,9.71551513671875
11,2.33654403686523,angular,1.02713227057316,22.2622318982489,False,0,1,10,4.81169480364671,38.24963,10.5140867233276
11,2.33654403686523,forward spiral,0.392590127082522,23.5482331508233,False,0,1,10,4.81169480364671,38.24963,10.5140867233276
11,2.33654403686523,radial,0.390255512473644,8.42622773588475,False,0,1,10,4.81169480364671,38.24963,10.5140867233276
11,2.33654403686523,reverse spiral,0.395168570413437,6.98622536210845,False,0,1,10,4.81169480364671,38.24963,10.5140867233276
12,1.62580752372742,angular,9.180462603946,19.0102318320955,False,0,1,10,4.85986079337853,32.495457,11.4110612869263
12,1.62580752372742,forward spiral,0.984105092163192,10.9992291506073,False,0,1,10,4.85986079337853,32.495457,11.4110612869263
12,1.62580752372742,radial,0.404741342496597,6.75922530751025,False,0,1,10,4.85986079337853,32.495457,11.4110612869263
12,1.62580752372742,reverse spiral,0.598741357845825,9.33322763969853,False,0,1,10,4.85986079337853,32.495457,11.4110612869263
13,1.77752304077148,angular,9.13577771732798,21.3702322851335,False,0,1,10,4.8168027382951,40.185535,11.4681730270386
13,1.77752304077148,forward spiral,1.2571852104961,14.5362307338212,False,0,1,10,4.8168027382951,40.185535,11.4681730270386
13,1.77752304077148,radial,0.444114997002602,7.21722553829807,False,0,1,10,4.8168027382951,40.185535,11.4681730270386
13,1.77752304077148,reverse spiral,0.467600727948911,8.07222422845079,False,0,1,10,4.8168027382951,40.185535,11.4681730270386
14,1.47511863708496,angular,8.43205069944855,17.7632337267596,False,0,1,10,4.85376350270755,28.37612,11.3966846466064
14,1.47511863708496,forward spiral,0.844562432269606,9.10622765569139,False,0,1,10,4.85376350270755,28.37612,11.3966846466064
14,1.47511863708496,radial,0.366908436576269,6.67623021483499,False,0,1,10,4.85376350270755,28.37612,11.3966846466064
14,1.47511863708496,reverse spiral,0.651221640410168,9.74322658666481,False,0,1,10,4.85376350270755,28.37612,11.3966846466064
15,3.75108194351196,angular,0.320968360417354,6.2062298603652,False,0,1,10,4.93430957816499,3.7746727,7.70135068893433
15,3.75108194351196,forward spiral,0.110296855249584,23.5482331508233,False,0,1,10,4.93430957816499,3.7746727,7.70135068893433
15,3.75108194351196,radial,0.000488281250000085,18.0092308875755,False,0,1,10,4.93430957816499,3.7746727,7.70135068893433
15,3.75108194351196,reverse spiral,0.261281889968808,8.35723214533737,False,0,1,10,4.93430957816499,3.7746727,7.70135068893433
16,3.95073223114014,angular,0.254494543841969,5.36322346764449,False,0,1,10,4.9403374435553,2.616322,7.40847253799438
16,3.95073223114014,forward spiral,0.00607255465895898,23.5482331508233,False,0,1,10,4.9403374435553,2.616322,7.40847253799438
16,3.95073223114014,radial,0.363037612572952,1.21717388198314,False,0,1,10,4.9403374435553,2.616322,7.40847253799438
16,3.95073223114014,reverse spiral,0.172239035269335,6.91822316848931,False,0,1,10,4.9403374435553,2.616322,7.40847253799438
17,4.48535108566284,angular,0.204034122340409,0.23511755877939,False,0,1,10,4.94919238760079,1.2486875,6.81377267837524
17,4.48535108566284,forward spiral,1.72477299450319,0.197098549274637,False,0,1,10,4.94919238760079,1.2486875,6.81377267837524
17,4.48535108566284,radial,3.27108598933579,0.128128128128128,False,0,1,10,4.94919238760079,1.2486875,6.81377267837524
17,4.48535108566284,reverse spiral,2.1286247210986,0.133066533266633,False,0,1,10,4.94919238760079,1.2486875,6.81377267837524
18,5.05330181121826,angular,22.8837758019443,0.07007007007007,False,0,1,10,5.03023189687395,1.660645,6.14067792892456
18,5.05330181121826,forward spiral,0.277865950514786,0.00300300300300282,False,0,1,10,5.03023189687395,1.660645,6.14067792892456
18,5.05330181121826,radial,4.65324899665903,0.272136068034017,False,0,1,10,5.03023189687395,1.660645,6.14067792892456
18,5.05330181121826,reverse spiral,3.84846305010667,0.144072036018009,False,0,1,10,5.03023189687395,1.660645,6.14067792892456
19,5.94705724716187,angular,1.1087596114397,2.94721051503679,False,0,1,10,5.19959862245377,3.937626,5.65005302429199
19,5.94705724716187,forward spiral,1.70695846964131,5.09222140093047,False,0,1,10,5.19959862245377,3.937626,5.65005302429199
19,5.94705724716187,radial,2.08709074743863,8.65422774283534,False,0,1,10,5.19959862245377,3.937626,5.65005302429199
19,5.94705724716187,reverse spiral,0.000488281250000191,19.093232844303,False,0,1,10,5.19959862245377,3.937626,5.65005302429199
20,7.69019365310669,angular,1.28652015438007,8.95622964691402,False,0,1,10,5.38582958260992,12.055177,5.94168138504028
20,7.69019365310669,forward spiral,1.28802656851264,10.6092306354486,False,0,1,10,5.38582958260992,12.055177,5.94168138504028
20,7.69019365310669,radial,2.4360307275489,12.4582307079761,False,0,1,10,5.38582958260992,12.055177,5.94168138504028
20,7.69019365310669,reverse spiral,0.0266567156512772,23.5482331508233,False,0,1,10,5.38582958260992,12.055177,5.94168138504028
21,9.94000244140625,angular,3.17008658617353,23.5482331508233,False,0,1,10,5.38446551149958,8.144819,7.45074939727783
21,9.94000244140625,forward spiral,0.31172914264694,23.5482331508233,False,0,1,10,5.38446551149958,8.144819,7.45074939727783
21,9.94000244140625,radial,2.16847479247338,20.2332325658916,False,0,1,10,5.38446551149958,8.144819,7.45074939727783
21,9.94000244140625,reverse spiral,0.199346475284485,23.5482331508233,False,0,1,10,5.38446551149958,8.144819,7.45074939727783
22,3.13441300392151,angular,0.305184233387256,8.80523171662412,False,0,1,10,4.95275834365565,9.478688,8.6030912399292
22,3.13441300392151,forward spiral,0.518724071595621,14.5612348586268,False,0,1,10,4.95275834365565,9.478688,8.6030912399292
22,3.13441300392151,radial,0.201144799666026,6.06222452683433,False,0,1,10,4.95275834365565,9.478688,8.6030912399292
22,3.13441300392151,reverse spiral,0.39589850273342,5.53822152886115,False,0,1,10,4.95275834365565,9.478688,8.6030912399292
23,3.42760062217712,angular,0.327512531239464,6.39422836529876,False,0,1,10,4.98823910622656,5.251712,8.22532272338867
23,3.42760062217712,forward spiral,0.509651924106716,11.9622300428854,False,0,1,10,4.98823910622656,5.251712,8.22532272338867
23,3.42760062217712,radial,0.160158857910127,7.18023162037485,False,0,1,10,4.98823910622656,5.251712,8.22532272338867
23,3.42760062217712,reverse spiral,0.447428798630151,5.41422559273303,False,0,1,10,4.98823910622656,5.251712,8.22532272338867
24,3.90600395202637,angular,0.283102726608234,3.21022930209301,False,0,1,10,5.05658417546591,1.4943063,7.20512342453003
24,3.90600395202637,forward spiral,1.33703458411939,0.307102367455818,False,0,1,10,5.05658417546591,1.4943063,7.20512342453003
24,3.90600395202637,radial,0.0229181356782862,0.25112556278139,False,0,1,10,5.05658417546591,1.4943063,7.20512342453003
24,3.90600395202637,reverse spiral,0.0022281368341164,10.5092284614883,False,0,1,10,5.05658417546591,1.4943063,7.20512342453003
25,4.28311634063721,angular,0.0694075812197516,0.123061530765383,False,0,1,10,5.15637099058793,1.2642384,6.75461149215698
25,4.28311634063721,forward spiral,1.74648190750259,0.0890890890890891,False,0,1,10,5.15637099058793,1.2642384,6.75461149215698
25,4.28311634063721,radial,2.88095254614721,0.114114114114114,False,0,1,10,5.15637099058793,1.2642384,6.75461149215698
25,4.28311634063721,reverse spiral,3.86398266662408,0.169084542271135,False,0,1,10,5.15637099058793,1.2642384,6.75461149215698
26,4.7288556098938,angular,0.183875339531906,0.278092697565855,False,0,1,10,5.31269598328303,1.7466664,6.05888271331787
26,4.7288556098938,forward spiral,1.03719848857824,1.78422302787848,False,0,1,10,5.31269598328303,1.7466664,6.05888271331787
26,4.7288556098938,radial,2.33786263843541,3.33622241482766,False,0,1,10,5.31269598328303,1.7466664,6.05888271331787
26,4.7288556098938,reverse spiral,3.37459306891626,0.259129564782391,False,0,1,10,5.31269598328303,1.7466664,6.05888271331787
27,5.39905309677124,angular,1.22791640934584,5.03322878312651,False,0,1,10,5.52525219094607,7.1358023,6.07805395126343
27,5.39905309677124,forward spiral,1.58846182226127,6.05222415645024,False,0,1,10,5.52525219094607,7.1358023,6.07805395126343
27,5.39905309677124,radial,2.09762537954578,6.6092279044105,False,0,1,10,5.52525219094607,7.1358023,6.07805395126343
27,5.39905309677124,reverse spiral,1.21083221771536,11.3592318210576,False,0,1,10,5.52525219094607,7.1358023,6.07805395126343
28,6.9726095199585,angular,2.512230596695,10.1132298461329,False,0,1,10,5.62798855684389,11.208618,7.58033180236816
28,6.9726095199585,forward spiral,1.06410784736512,16.4932322990465,False,0,1,10,5.62798855684389,11.208618,7.58033180236816
28,6.9726095199585,radial,9.2111612841888,16.3222331747596,False,0,1,10,5.62798855684389,11.208618,7.58033180236816
28,6.9726095199585,reverse spiral,0.234254748545721,23.5482331508233,False,0,1,10,5.62798855684389,11.208618,7.58033180236816
29,9.59536361694336,angular,4.93167025553753,9.9602316332938,False,0,1,10,5.70282331689609,13.763481,9.84615135192871
29,9.59536361694336,forward spiral,0.265700577017598,23.5482331508233,False,0,1,10,5.70282331689609,13.763481,9.84615135192871
29,9.59536361694336,radial,1.75286155948023,11.71322967117,False,0,1,10,5.70282331689609,13.763481,9.84615135192871
30,2.71874690055847,angular,0.621590401867427,13.3422300384489,False,0,1,10,4.94016402183407,23.491657,8.67147445678711
30,2.71874690055847,forward spiral,0.219779962701064,23.5482331508233,False,0,1,10,4.94016402183407,23.491657,8.67147445678711
30,2.71874690055847,radial,0.283419873317574,7.54722870390012,False,0,1,10,4.94016402183407,23.491657,8.67147445678711
